Id,Problem Name,Description,Difficulty,Accepted,Submissions,Acceptance Rate
0,"height-of-binary-tree-after-subtree-removal-queries
","<p>You are given the <code>root</code> of a <strong>binary tree</strong> with <code>n</code> nodes. Each node is assigned a unique value from <code>1</code> to <code>n</code>. You are also given an array <code>queries</code> of size <code>m</code>.</p>

<p>You have to perform <code>m</code> <strong>independent</strong> queries on the tree where in the <code>i<sup>th</sup></code> query you do the following:</p>

<ul>
	<li><strong>Remove</strong> the subtree rooted at the node with the value <code>queries[i]</code> from the tree. It is <strong>guaranteed</strong> that <code>queries[i]</code> will <strong>not</strong> be equal to the value of the root.</li>
</ul>

<p>Return <em>an array </em><code>answer</code><em> of size </em><code>m</code><em> where </em><code>answer[i]</code><em> is the height of the tree after performing the </em><code>i<sup>th</sup></code><em> query</em>.</p>

<p><strong>Note</strong>:</p>

<ul>
	<li>The queries are independent, so the tree returns to its <strong>initial</strong> state after each query.</li>
	<li>The height of a tree is the <strong>number of edges in the longest simple path</strong> from the root to some node in the tree.</li>
</ul>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>
<img alt="""" src=""https://assets.leetcode.com/uploads/2022/09/07/binaryytreeedrawio-1.png"" style=""width: 495px; height: 281px;"">
<pre><strong>Input:</strong> root = [1,3,4,2,null,6,5,null,null,null,null,null,7], queries = [4]
<strong>Output:</strong> [2]
<strong>Explanation:</strong> The diagram above shows the tree after removing the subtree rooted at node with value 4.
The height of the tree is 2 (The path 1 -&gt; 3 -&gt; 2).
</pre>

<p><strong class=""example"">Example 2:</strong></p>
<img alt="""" src=""https://assets.leetcode.com/uploads/2022/09/07/binaryytreeedrawio-2.png"" style=""width: 301px; height: 284px;"">
<pre><strong>Input:</strong> root = [5,8,9,2,1,3,7,4,6], queries = [3,2,4,8]
<strong>Output:</strong> [3,2,3,2]
<strong>Explanation:</strong> We have the following queries:
- Removing the subtree rooted at node with value 3. The height of the tree becomes 3 (The path 5 -&gt; 8 -&gt; 2 -&gt; 4).
- Removing the subtree rooted at node with value 2. The height of the tree becomes 2 (The path 5 -&gt; 8 -&gt; 1).
- Removing the subtree rooted at node with value 4. The height of the tree becomes 3 (The path 5 -&gt; 8 -&gt; 2 -&gt; 6).
- Removing the subtree rooted at node with value 8. The height of the tree becomes 2 (The path 5 -&gt; 9 -&gt; 3).
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li>The number of nodes in the tree is <code>n</code>.</li>
	<li><code>2 &lt;= n &lt;= 10<sup>5</sup></code></li>
	<li><code>1 &lt;= Node.val &lt;= n</code></li>
	<li>All the values in the tree are <strong>unique</strong>.</li>
	<li><code>m == queries.length</code></li>
	<li><code>1 &lt;= m &lt;= min(n, 10<sup>4</sup>)</code></li>
	<li><code>1 &lt;= queries[i] &lt;= n</code></li>
	<li><code>queries[i] != root.val</code></li>
</ul>
",Hard,98K,178.1K,55.0%
1,"two-sum
","<p>Given an array of integers <code>nums</code>&nbsp;and an integer <code>target</code>, return <em>indices of the two numbers such that they add up to <code>target</code></em>.</p>

<p>You may assume that each input would have <strong><em>exactly</em> one solution</strong>, and you may not use the <em>same</em> element twice.</p>

<p>You can return the answer in any order.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> nums = [2,7,11,15], target = 9
<strong>Output:</strong> [0,1]
<strong>Explanation:</strong> Because nums[0] + nums[1] == 9, we return [0, 1].
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> nums = [3,2,4], target = 6
<strong>Output:</strong> [1,2]
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> nums = [3,3], target = 6
<strong>Output:</strong> [0,1]
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>2 &lt;= nums.length &lt;= 10<sup>4</sup></code></li>
	<li><code>-10<sup>9</sup> &lt;= nums[i] &lt;= 10<sup>9</sup></code></li>
	<li><code>-10<sup>9</sup> &lt;= target &lt;= 10<sup>9</sup></code></li>
	<li><strong>Only one valid answer exists.</strong></li>
</ul>

<p>&nbsp;</p>
<strong>Follow-up:&nbsp;</strong>Can you come up with an algorithm that is less than <code>O(n<sup>2</sup>)</code><font face=""monospace"">&nbsp;</font>time complexity?",Easy,15.3M,28.1M,54.3%
2,"add-two-numbers
","<p>You are given two <strong>non-empty</strong> linked lists representing two non-negative integers. The digits are stored in <strong>reverse order</strong>, and each of their nodes contains a single digit. Add the two numbers and return the sum&nbsp;as a linked list.</p>

<p>You may assume the two numbers do not contain any leading zero, except the number 0 itself.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>
<img alt="""" src=""https://assets.leetcode.com/uploads/2020/10/02/addtwonumber1.jpg"" style=""width: 483px; height: 342px;"">
<pre><strong>Input:</strong> l1 = [2,4,3], l2 = [5,6,4]
<strong>Output:</strong> [7,0,8]
<strong>Explanation:</strong> 342 + 465 = 807.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> l1 = [0], l2 = [0]
<strong>Output:</strong> [0]
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]
<strong>Output:</strong> [8,9,9,9,0,0,0,1]
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li>The number of nodes in each linked list is in the range <code>[1, 100]</code>.</li>
	<li><code>0 &lt;= Node.val &lt;= 9</code></li>
	<li>It is guaranteed that the list represents a number that does not have leading zeros.</li>
</ul>
",Medium,5.2M,11.6M,44.6%
3,"longest-substring-without-repeating-characters
","<p>Given a string <code>s</code>, find the length of the <strong>longest</strong> <span data-keyword=""substring-nonempty"" class="" cursor-pointer relative text-dark-blue-s text-sm""><div class=""popover-wrapper inline-block"" data-headlessui-state=""""><div><div aria-expanded=""false"" data-headlessui-state="""" id=""headlessui-popover-button-:ro:""><div><strong>substring</strong></div></div><div style=""position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(404px, 215px);""></div></div></div></span> without repeating characters.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> s = ""abcabcbb""
<strong>Output:</strong> 3
<strong>Explanation:</strong> The answer is ""abc"", with the length of 3.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> s = ""bbbbb""
<strong>Output:</strong> 1
<strong>Explanation:</strong> The answer is ""b"", with the length of 1.
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> s = ""pwwkew""
<strong>Output:</strong> 3
<strong>Explanation:</strong> The answer is ""wke"", with the length of 3.
Notice that the answer must be a substring, ""pwke"" is a subsequence and not a substring.
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>0 &lt;= s.length &lt;= 5 * 10<sup>4</sup></code></li>
	<li><code>s</code> consists of English letters, digits, symbols and spaces.</li>
</ul>
",Medium,6.6M,18.4M,35.8%
4,"median-of-two-sorted-arrays
","<p>Given two sorted arrays <code>nums1</code> and <code>nums2</code> of size <code>m</code> and <code>n</code> respectively, return <strong>the median</strong> of the two sorted arrays.</p>

<p>The overall run time complexity should be <code>O(log (m+n))</code>.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> nums1 = [1,3], nums2 = [2]
<strong>Output:</strong> 2.00000
<strong>Explanation:</strong> merged array = [1,2,3] and median is 2.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> nums1 = [1,2], nums2 = [3,4]
<strong>Output:</strong> 2.50000
<strong>Explanation:</strong> merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5.
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>nums1.length == m</code></li>
	<li><code>nums2.length == n</code></li>
	<li><code>0 &lt;= m &lt;= 1000</code></li>
	<li><code>0 &lt;= n &lt;= 1000</code></li>
	<li><code>1 &lt;= m + n &lt;= 2000</code></li>
	<li><code>-10<sup>6</sup> &lt;= nums1[i], nums2[i] &lt;= 10<sup>6</sup></code></li>
</ul>
",Hard,3M,7.1M,42.0%
5,"longest-palindromic-substring
","<p>Given a string <code>s</code>, return <em>the longest</em> <span data-keyword=""palindromic-string"" class="" cursor-pointer relative text-dark-blue-s text-sm""><div class=""popover-wrapper inline-block"" data-headlessui-state=""""><div><div aria-expanded=""false"" data-headlessui-state="""" id=""headlessui-popover-button-:ro:""><div><em>palindromic</em></div></div><div style=""position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(323px, 183px);""></div></div></div></span> <span data-keyword=""substring-nonempty"" class="" cursor-pointer relative text-dark-blue-s text-sm""><div class=""popover-wrapper inline-block"" data-headlessui-state=""""><div><div aria-expanded=""false"" data-headlessui-state="""" id=""headlessui-popover-button-:rq:""><div><em>substring</em></div></div><div style=""position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(401px, 183px);""></div></div></div></span> in <code>s</code>.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> s = ""babad""
<strong>Output:</strong> ""bab""
<strong>Explanation:</strong> ""aba"" is also a valid answer.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> s = ""cbbd""
<strong>Output:</strong> ""bb""
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 &lt;= s.length &lt;= 1000</code></li>
	<li><code>s</code> consist of only digits and English letters.</li>
</ul>
",Medium,3.5M,9.9M,34.8%
6,"zigzag-conversion
","<p>The string <code>""PAYPALISHIRING""</code> is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)</p>

<pre>P   A   H   N
A P L S I I G
Y   I   R
</pre>

<p>And then read line by line: <code>""PAHNAPLSIIGYIR""</code></p>

<p>Write the code that will take a string and make this conversion given a number of rows:</p>

<pre>string convert(string s, int numRows);
</pre>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> s = ""PAYPALISHIRING"", numRows = 3
<strong>Output:</strong> ""PAHNAPLSIIGYIR""
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> s = ""PAYPALISHIRING"", numRows = 4
<strong>Output:</strong> ""PINALSIGYAHRPI""
<strong>Explanation:</strong>
P     I    N
A   L S  I G
Y A   H R
P     I
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> s = ""A"", numRows = 1
<strong>Output:</strong> ""A""
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 &lt;= s.length &lt;= 1000</code></li>
	<li><code>s</code> consists of English letters (lower-case and upper-case), <code>','</code> and <code>'.'</code>.</li>
	<li><code>1 &lt;= numRows &lt;= 1000</code></li>
</ul>
",Medium,1.5M,3.1M,49.8%
7,"reverse-integer
","<p>Given a signed 32-bit integer <code>x</code>, return <code>x</code><em> with its digits reversed</em>. If reversing <code>x</code> causes the value to go outside the signed 32-bit integer range <code>[-2<sup>31</sup>, 2<sup>31</sup> - 1]</code>, then return <code>0</code>.</p>

<p><strong>Assume the environment does not allow you to store 64-bit integers (signed or unsigned).</strong></p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> x = 123
<strong>Output:</strong> 321
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> x = -123
<strong>Output:</strong> -321
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> x = 120
<strong>Output:</strong> 21
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>-2<sup>31</sup> &lt;= x &lt;= 2<sup>31</sup> - 1</code></li>
</ul>
",Medium,3.6M,12.4M,29.4%
8,"string-to-integer-atoi
","<p>Implement the <code>myAtoi(string s)</code> function, which converts a string to a 32-bit signed integer.</p>

<p>The algorithm for <code>myAtoi(string s)</code> is as follows:</p>

<ol>
	<li><strong>Whitespace</strong>: Ignore any leading whitespace (<code>"" ""</code>).</li>
	<li><strong>Signedness</strong>: Determine the sign by checking if the next character is <code>'-'</code> or <code>'+'</code>, assuming positivity if neither present.</li>
	<li><strong>Conversion</strong>: Read the integer by skipping leading zeros&nbsp;until a non-digit character is encountered or the end of the string is reached. If no digits were read, then the result is 0.</li>
	<li><strong>Rounding</strong>: If the integer is out of the 32-bit signed integer range <code>[-2<sup>31</sup>, 2<sup>31</sup> - 1]</code>, then round the integer to remain in the range. Specifically, integers less than <code>-2<sup>31</sup></code> should be rounded to <code>-2<sup>31</sup></code>, and integers greater than <code>2<sup>31</sup> - 1</code> should be rounded to <code>2<sup>31</sup> - 1</code>.</li>
</ol>

<p>Return the integer as the final result.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">s = ""42""</span></p>

<p><strong>Output:</strong> <span class=""example-io"">42</span></p>

<p><strong>Explanation:</strong></p>

<pre>The underlined characters are what is read in and the caret is the current reader position.
Step 1: ""42"" (no characters read because there is no leading whitespace)
         ^
Step 2: ""42"" (no characters read because there is neither a '-' nor '+')
         ^
Step 3: ""<u>42</u>"" (""42"" is read in)
           ^
</pre>
</div>

<p><strong class=""example"">Example 2:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">s = "" -042""</span></p>

<p><strong>Output:</strong> <span class=""example-io"">-42</span></p>

<p><strong>Explanation:</strong></p>

<pre>Step 1: ""<u>   </u>-042"" (leading whitespace is read and ignored)
            ^
Step 2: ""   <u>-</u>042"" ('-' is read, so the result should be negative)
             ^
Step 3: ""   -<u>042</u>"" (""042"" is read in, leading zeros ignored in the result)
               ^
</pre>
</div>

<p><strong class=""example"">Example 3:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">s = ""1337c0d3""</span></p>

<p><strong>Output:</strong> <span class=""example-io"">1337</span></p>

<p><strong>Explanation:</strong></p>

<pre>Step 1: ""1337c0d3"" (no characters read because there is no leading whitespace)
         ^
Step 2: ""1337c0d3"" (no characters read because there is neither a '-' nor '+')
         ^
Step 3: ""<u>1337</u>c0d3"" (""1337"" is read in; reading stops because the next character is a non-digit)
             ^
</pre>
</div>

<p><strong class=""example"">Example 4:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">s = ""0-1""</span></p>

<p><strong>Output:</strong> <span class=""example-io"">0</span></p>

<p><strong>Explanation:</strong></p>

<pre>Step 1: ""0-1"" (no characters read because there is no leading whitespace)
         ^
Step 2: ""0-1"" (no characters read because there is neither a '-' nor '+')
         ^
Step 3: ""<u>0</u>-1"" (""0"" is read in; reading stops because the next character is a non-digit)
          ^
</pre>
</div>

<p><strong class=""example"">Example 5:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">s = ""words and 987""</span></p>

<p><strong>Output:</strong> <span class=""example-io"">0</span></p>

<p><strong>Explanation:</strong></p>

<p>Reading stops at the first non-digit character 'w'.</p>
</div>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>0 &lt;= s.length &lt;= 200</code></li>
	<li><code>s</code> consists of English letters (lower-case and upper-case), digits (<code>0-9</code>), <code>' '</code>, <code>'+'</code>, <code>'-'</code>, and <code>'.'</code>.</li>
</ul>
",Medium,1.8M,9.6M,18.2%
9,"palindrome-number
","<p>Given an integer <code>x</code>, return <code>true</code><em> if </em><code>x</code><em> is a </em><span data-keyword=""palindrome-integer"" class="" cursor-pointer relative text-dark-blue-s text-sm""><div class=""popover-wrapper inline-block"" data-headlessui-state=""""><div><div aria-expanded=""false"" data-headlessui-state="""" id=""headlessui-popover-button-:ro:""><div><em><strong>palindrome</strong></em></div></div><div style=""position: fixed; z-index: 40; inset: 0px auto auto 0px; transform: translate(361px, 183px);""></div></div></div></span><em>, and </em><code>false</code><em> otherwise</em>.</p>

<p>&nbsp;</p>
<p><strong class=""example"">Example 1:</strong></p>

<pre><strong>Input:</strong> x = 121
<strong>Output:</strong> true
<strong>Explanation:</strong> 121 reads as 121 from left to right and from right to left.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre><strong>Input:</strong> x = -121
<strong>Output:</strong> false
<strong>Explanation:</strong> From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre><strong>Input:</strong> x = 10
<strong>Output:</strong> false
<strong>Explanation:</strong> Reads 01 from right to left. Therefore it is not a palindrome.
</pre>

<p>&nbsp;</p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>-2<sup>31</sup>&nbsp;&lt;= x &lt;= 2<sup>31</sup>&nbsp;- 1</code></li>
</ul>

<p>&nbsp;</p>
<strong>Follow up:</strong> Could you solve it without converting the integer to a string?",Easy,5.5M,9.5M,58.0%
