Problem_Name,Id,Parent_Id,Text,Date,Up_Votes,Username,Parent_Up_Votes,Parent_Date,Parent_Text
"minimum-moves-to-capture-the-queen
",66,62,same :( i spent my entire time even after the contest trying to come up with backtracking and still failed :(,"Jan 07, 2024",0,ritzo37,0,"Jan 07, 2024",I tried to do it by recusrion anyone else I think I was the stupid who thought of recursion directly although can be solved with just conditions.
"find-the-student-that-will-replace-the-chalk
",50,48,@zaskyou well then you'll have to wait,"Sep 03, 2024",0,jshim2705,6,"Sep 02, 2024","Is there a mistake in Hint 2?Hint 1: Subtract the sum of chalk from k until k is less than the sum of chalk.
Hint 2: Now iterate over the array. If chalk[i] is less than k, this is the answer.It should be : if chalk[i] is BIGGER than k, because we are subtracting from k, and it gets smaller."
"managers-with-at-least-5-direct-reports
",6,1,"What is the problem with this ?
select name
from Employee
where managerId in (select count(managerId) as idc from Employee
group by managerId
having idc >=5
);","May 15, 2024",0,appie_pie,88,"May 11, 2023","Easiest with the right logic
I never understood combining the table twice...select name from Employee where id in (select managerID from employee group by managerId having count(*)>=5);"
"minimum-cost-to-convert-string-i
",159,158,@neks yess actually true,"Jul 27, 2024",0,ShreyaGarg63,0,"Jul 27, 2024",Graphs and trees are the most difficult ones 😭😭
"frequency-of-the-most-frequent-element
",147,146,"@yao0103 any idea why ?
cause its not the largest or any unusual testcase its simple right?","Feb 04, 2024",0,balajirai,0,"Feb 04, 2024",
"array-prototype-last
",37,35,Why would a programming exercise need to conform to some particular spec? The purpose of the problem is to force participants to implement a certain feature; ability to trivially delegate to an existing method would only detract from the value of the problem.,"May 27, 2023",0,tifv,1,"May 27, 2023","the Array.at() method has already shipped and supports negative indices. This question should be changed to not have that weird -1 requirement, to return undefined instead so that its at the very least compliant with what is the spec."
"move-zeroes
",216,214,"@d75324 the line 17 : nums = nums + [0]*num_zeros .
This line adds zeros at the end of the list","Nov 06, 2023",0,suraj479,0,"Nov 06, 2023","Can anyone tell me what is wrong with my code ? This code is getting executed in Jupyter notebook but not in here.I am using python.num_zeros = nums.count(0)
i=0
length = len(nums)
while i < length:
if nums[i]==0:
nums.pop(i)
length = len(nums)
else:
i+=1
nums = nums + [0]*num_zeros
return nums"
"rank-transform-of-an-array
",19,15,thanks case bro,"Oct 02, 2024",4,Garv_Virmani,32,"Oct 02, 2024",TESTCASES--------------->
"exclusive-time-of-functions
",21,19,"I think the expected result is incorrect. I have previously successful submissions that are erring on this case now. My solution is [3,5,1] and they're expecting [2,6,1] which I calculated myself by hand and it should be [3,5,1]","May 03, 2024",0,arabisoft,11,"Apr 13, 2024","case 120
n = 3, logs = [""1:start:0"",""0:start:2"",""1:start:3"",""2:start:4"",""2:end:4"",""0:end:6"",""1:end:7"",""1:end:8""]
Is this a valid case??"
"game-play-analysis-iv
",38,33,"have you tried adding IFNULL ( ,0) to the formula? It worked for me, since there were cases where the result is null","May 17, 2023",0,Panda_30,9,"Mar 03, 2021","Got stuck with this question. My code can pass with the testing case but not the submission case.Hope someone can help correct my code. Thank you a lot.select round(count(distinct t.player_id)*1.0/(select count(distinct player_id) from Activity),2) as fraction
from(
select a.player_id as player_id
from Activity a, Activity b
where Datediff(day, a.event_date, b.event_date) = 1 AND a.player_id = b.player_id)t"
